,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3425,"Pompton Lakes, NJ",Pompton Lakes,NJ,11031,Pompton Lakes,1022354,New Jersey,NJ,"New York, NY",501
3426,"Ponca City, OK",Ponca City,OK,24507,Ponca City,1024306,Oklahoma,OK,"Oklahoma City, OK",650
3427,"Ponchatoula, LA",Ponchatoula,LA,6320,Ponchatoula,9052698,Louisiana,LA,"New Orleans, LA",622
3428,"Pontiac, IL",Pontiac,IL,11258,Pontiac,1016780,Illinois,IL,"Peoria-Bloomington, IL",675
3429,"Pontiac, MI",Pontiac,MI,66095,Pontiac,1019536,Michigan,MI,"Detroit, MI",505
3430,"Pontotoc, MS",Pontotoc,MS,5924,Pontotoc,1020802,Mississippi,MS,"Columbus-Tupelo-West Point, MS",673
3431,"Pooler, GA",Pooler,GA,14875,Pooler,1015473,Georgia,GA,"Savannah, GA",507
3432,"Poolesville, MD",Poolesville,MD,5674,Poolesville,1018686,Maryland,MD,"Washington, DC (Hagerstown, MD)",511
3433,"Poplar Bluff, MO",Poplar Bluff,MO,17096,Poplar Bluff,1020555,Missouri,MO,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",632
3434,"Poquoson, VA",Poquoson,VA,11829,Poquoson,1027254,Virginia,VA,"Norfolk-Portsmouth-Newport News,VA",544
3435,"Port Allen, LA",Port Allen,LA,4984,Port Allen,1018048,Louisiana,LA,"Baton Rouge, LA",716
3436,"Port Angeles, WA",Port Angeles,WA,18982,Port Angeles,1027709,Washington,WA,"Seattle-Tacoma, WA",819
3437,"Port Arthur, TX",Port Arthur,TX,55910,Port Arthur,1026701,Texas,TX,"Beaumont-Port Arthur, TX",692
3438,"Port Chester, NY",Port Chester,NY,28171,Port Chester,1023275,New York,NY,"New York, NY",501
3439,"Port Clinton, OH",Port Clinton,OH,6135,Port Clinton,1023943,Ohio,OH,"Toledo, OH",547
3440,"Port Hueneme, CA",Port Hueneme,CA,21478,Port Hueneme,1014157,California,CA,"Los Angeles, CA",803
3441,"Port Huron, MI",Port Huron,MI,30869,Port Huron,1019538,Michigan,MI,"Detroit, MI",505
3442,"Port Isabel, TX",Port Isabel,TX,5290,Port Isabel,9052700,Texas,TX,"Harlingen-Weslaco-Brownsville-McAllen, TX",636
3443,"Port Jefferson, NY",Port Jefferson,NY,8012,Port Jefferson,1023277,New York,NY,"New York, NY",501
3444,"Port Jervis, NY",Port Jervis,NY,9111,Port Jervis,1023279,New York,NY,"New York, NY",501
3445,"Port Lavaca, TX",Port Lavaca,TX,11432,Port Lavaca,1026702,Texas,TX,"Houston, TX",618
3446,"Port Neches, TX",Port Neches,TX,12604,Port Neches,1026703,Texas,TX,"Beaumont-Port Arthur, TX",692
3447,"Port Orange, FL",Port Orange,FL,54616,Port Orange,1015179,Florida,FL,"Orlando-Daytona Beach-Melbourne, FL",534
3448,"Port Orchard, WA",Port Orchard,WA,7953,Port Orchard,1027712,Washington,WA,"Seattle-Tacoma, WA",819
3449,"Port Royal, SC",Port Royal,SC,11064,Port Royal,1025640,South Carolina,SC,"Savannah, GA",507
3450,"Port St. Lucie, FL",Port St. Lucie,FL,154353,Port St. Lucie,1015182,Florida,FL,"West Palm Beach-Ft. Pierce, FL",548
3451,"Port Townsend, WA",Port Townsend,WA,9133,Port Townsend,1027713,Washington,WA,"Seattle-Tacoma, WA",819
3452,"Port Washington, WI",Port Washington,WI,11174,Port Washington,1028161,Wisconsin,WI,"Milwaukee, WI",617
3453,"Port Wentworth, GA",Port Wentworth,GA,4560,Port Wentworth,9052704,Georgia,GA,"Savannah, GA",507
3454,"Portage, IN",Portage,IN,36976,Portage,1017273,Indiana,IN,"Chicago, IL",602
3455,"Portage, MI",Portage,MI,46133,Portage,1019540,Michigan,MI,"Grand Rapids-Kalamazoo-Battle Creek, MI",563
3456,"Portage, WI",Portage,WI,9919,Portage,1028163,Wisconsin,WI,"Madison, WI",669
3457,"Portales, NM",Portales,NM,12215,Portales,1022572,New Mexico,NM,"Amarillo, TX",634
