"","DMA","scores","sd","count","Region","date"
"110",634,0.08,0.67,36,"Amarillo, TX",2015-06-24 17:22:17
"111",635,0.04,0.74,334,"Austin, TX",2015-06-24 17:22:17
"112",636,0.06,0.67,156,"Harlingen-Weslaco-Brownsville-McAllen, TX",2015-06-24 17:22:17
"113",637,0.08,0.77,62,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",2015-06-24 17:22:17
"114",639,0.48,0.66,5,"Jackson, TN",2015-06-24 17:22:17
"115",640,0,0.79,215,"Memphis, TN",2015-06-24 17:22:17
"116",641,0.07,0.81,370,"San Antonio, TX",2015-06-24 17:22:17
"117",642,-0.01,0.61,72,"Lafayette, LA",2015-06-24 17:22:17
"118",643,-0.11,0.82,18,"Lake Charles, LA",2015-06-24 17:22:17
"119",644,-0.06,0.73,14,"Alexandria, LA",2015-06-24 17:22:17
"120",647,0.56,0.88,5,"Greenwood-Greenville, MS",2015-06-24 17:22:17
"121",648,0.33,0.75,45,"Champaign & Springfield-Decatur,IL",2015-06-24 17:22:17
"122",649,0.27,0.84,47,"Evansville, IN",2015-06-24 17:22:17
"123",650,0.03,0.85,216,"Oklahoma City, OK",2015-06-24 17:22:17
"124",651,0.14,0.56,36,"Lubbock, TX",2015-06-24 17:22:17
"125",652,0.06,0.72,177,"Omaha, NE",2015-06-24 17:22:17
"126",656,0.1,0.66,23,"Panama City, FL",2015-06-24 17:22:17
"127",657,0.6,1.2,4,"Sherman, TX-Ada, OK",2015-06-24 17:22:17
"128",658,0.09,0.64,41,"Green Bay-Appleton, WI",2015-06-24 17:22:17
